,평균기온(℃),"최고기온(℃)
","최저기온(℃)
",일교차(℃),최저초상온도(℃),"상대습도(%) (관측)
",운량(할),일사(MJ/㎡),"일조(hr) (관측)
 ","평균풍속(km/h)

","최대풍향풍속(km/h)
","최대순간풍향풍속(km/h)
","증발량(mm)
","강수량(mm)
",지면온도(℃)
2002-08-17,23.5,27.5,21.9,5.6,20.9,87.1,8.4,9.32,0.7,6.8,18,32,4.5,33.5,
2002-08-18,25.5,29.0,22.3,6.7,21.5,79.5,7.3,16.20,2.3,5.4,14.4,22,4.0,,
2003-08-07,23.0,25.2,21.1,4.1,20.7,85.5,8.1,7.82,0.9,6.1,19.1,38.5,2.4,9.5,24.9
2003-08-08,24.3,29.4,20.7,8.7,19.2,78.1,2.4,21.42,8.3,7.9,18.4,30.6,4.1,,27.2
2003-08-09,25.4,30.7,21.8,8.9,20.7,76.6,3.8,20.31,7.0,6.8,14,25.2,4.6,,28.2
2003-08-10,24.9,30.0,21.5,8.5,20.5,77.6,7.8,14.96,4.8,5.8,13.3,20.2,2.1,2.0,27.2
2003-08-11,23.7,25.8,21.9,3.9,20.2,85.0,8.5,10.43,0.6,6.1,14.4,24.1,1.8,13.0,25.7
2003-08-12,23.7,28.7,20.5,8.2,18.9,73.9,6.8,18.32,6.9,6.5,14.4,23.8,3.8,,26.3
2003-08-13,22.9,28.4,18.6,9.8,16.6,72.6,6.4,13.70,3.3,6.1,18.4,25.9,2.6,,25.4
2003-08-14,23.9,28.7,18.5,10.2,16.3,63.0,0.9,24.30,11.1,12.2,26.6,42.1,5.2,,28.0
2003-08-15,24.3,29.3,18.4,10.9,15.9,58.6,2.6,24.40,10.2,16.2,30.6,54.7,5.9,,29.4
2003-08-16,23.2,25.3,21.9,3.4,19.3,69.8,9.0,6.87,0.1,13,23.8,39.6,1.6,0.4,23.2
2003-08-17,22.2,23.2,21.2,2.0,20.1,83.1,10.0,4.57,0.0,6.8,18.7,28.4,0.5,1.5,22.9
2004-07-31,29.5,34.8,24.3,10.5,21.6,61.8,1.5,23.06,11.7,6.1,16.9,29.9,6.9,,34.6
2004-08-01,28.6,33.8,24.5,,,,,,,,,,,,
2004-08-02,28.5,33.6,23.6,,,,,,,,,,,,
2004-08-03,28.9,32.8,25.4,,,,,,,,,,,,
2004-08-04,26.8,32.4,23.8,,,,,,,,,,,,
2004-08-05,26.6,33.5,24.0,,,,,,,,,,,,
2004-08-06,28.2,33.0,23.4,,,,,,,,,,,,
2004-08-07,28.4,32.9,24.7,,,,,,,,,,,,
2004-08-08,28.4,32.7,24.1,,,,,,,,,,,,
2004-08-09,28.5,32.9,25.4,,,,,,,,,,,,
2004-08-10,28.1,34.2,24.8,,,,,,,,,,,,
2005-08-12,27.2,31.1,24.5,,,,,,,,,,,,
2005-08-13,27.6,31.3,24.5,,,,,,,,,,,,
2005-08-14,27.4,32.1,23.8,,,,,,,,,,,,
2005-08-15,27.6,31.6,25.2,,,,,,,,,,,,
2005-08-16,27.4,31.8,23.5,,,,,,,,,,,,
2005-08-17,27.0,33.6,24.0,,,,,,,,,,,,
2005-08-18,25.6,31.1,23.8,,,,,,,,,,,,
2005-08-19,23.8,27.2,22.2,,,,,,,,,,,,
2005-08-20,21.3,22.3,20.1,,,,,,,,,,,,
2005-08-21,23.5,22.7,19.9,,,,,,,,,,,,
2006-08-11,27.2,31.8,23.3,,,,,,,,,,,,
2006-08-12,27.1,31.3,23.2,,,,,,,,,,,,
2006-08-13,28.2,33.2,24.8,,,,,,,,,,,,
2006-08-14,28.3,33.9,24.1,,,,,,,,,,,,
2006-08-15,28.8,34.2,23.6,,,,,,,,,,,,
2006-08-16,29.2,34.2,25.2,,,,,,,,,,,,
2006-08-17,27.8,32.7,24.1,,,,,,,,,,,,
2006-08-18,24.5,28.8,22.0,,,,,,,,,,,,
2006-08-19,23.4,28.2,21.3,,,,,,,,,,,,
2006-08-20,22.9,27.0,19.1,,,,,,,,,,,,
2007-08-15,27.0,32.2,23.2,,,,,,,,,,,,
2007-08-16,28.1,33.0,23.8,,,,,,,,,,,,
2007-08-17,27.7,33.0,23.8,,,,,,,,,,,,
2007-08-18,27.4,32.4,24.0,,,,,,,,,,,,
2007-08-19,27.4,31.3,23.7,,,,,,,,,,,,
2008-04-19,18.8,27.9,8.9,,,,,,,,,,,,
2008-04-20,17.6,24.2,9.1,,,,,,,,,,,,
2008-04-21,18.3,21.9,14.7,,,,,,,,,,,,
2009-04-10,17.1,26.0,8.4,,,,,,,,,,,,
2009-04-11,17.4,27.0,7.0,,,,,,,,,,,,
2009-04-12,17.0,23.8,11.1,,,,,,,,,,,,
2009-10-09,15.3,21.6,9.2,,,,,,,,,,,,
2009-10-10,14.7,21.8,9.2,,,,,,,,,,,,
2009-10-11,15.0,23.0,8.0,,,,,,,,,,,,
2009-10-12,15.2,21.7,10.4,,,,,,,,,,,,
2009-10-13,13.9,21.6,8.5,,,,,,,,,,,,
2009-10-14,13.2,19.7,10.2,,,,,,,,,,,,
2009-10-15,14.3,22.0,7.4,,,,,,,,,,,,
2009-10-16,15.3,22.4,8.8,,,,,,,,,,,,
2009-10-17,14.5,19.0,11.3,,,,,,,,,,,,
2009-10-18,14.2,19.7,9.0,,,,,,,,,,,,
2010-04-23,11.0,16.7,8.1,,,,,,,,,,,,
2010-04-24,11.3,18.0,4.9,,,,,,,,,,,,
2010-04-25,13.5,22.1,3.4,,,,,,,,,,,,
2010-10-07,16.9,24.2,11.3,,,,,,,,,,,,
2010-10-08,18.1,22.4,14.2,,,,,,,,,,,,
2010-10-09,18.7,24.1,15.2,,,,,,,,,,,,
2010-10-10,17.4,24.4,13.0,,,,,,,,,,,,
2011-10-06,15.3,21.9,10.0,,,,,,,,,,,,
2011-10-07,14.8,21.6,8.9,,,,,,,,,,,,
2011-10-08,14.6,21.9,9.2,,,,,,,,,,,,
2011-10-09,15.0,22.0,9.4,,,,,,,,,,,,
2012-10-26,14.9,23.0,8.5,,,,,,,,,,,,
2012-10-27,15.6,17.7,13.8,,,,,,,,,,,,
2012-10-28,15.3,20.4,11.0,,,,,,,,,,,,
2013-08-09,30.4,33.9,27.4,,,,,,,,,,,,
2013-08-10,28.2,32.4,24.6,,,,,,,,,,,,
2013-08-11,28.6,33.6,24.8,,,,,,,,,,,,
2014-11-12,7.9,11.8,2.7,,,,,,,,,,,,
2014-11-13,2.3,7.1,-2.0,,,,,,,,,,,,
2014-11-14,5.8,11.6,1.4,,,,,,,,,,,,
2015-10-17,17.0,25.0,11.6,,,,,,,,,,,,
2015-10-18,16.5,24.5,10.0,,,,,,,,,,,,
2015-10-19,17.1,24.5,11.2,,,,,,,,,,,,
2015-10-20,16.6,23.1,11.2,,,,,,,,,,,,
2015-10-21,17.3,24.4,12.0,,,,,,,,,,,,
2016-10-22,17.5,22.1,14.3,,,,,,,,,,,,
2016-10-23,15.0,17.9,11.4,,,,,,,,,,,,
2016-10-24,15.5,20.4,9.8,,,,,,,,,,,,
2017-10-21,15.7,22.6,9.8,,,,,,,,,,,,
2017-10-22,15.7,22.5,10.0,,,,,,,,,,,,
2017-10-23,13.0,18.7,9.1,,,,,,,,,,,,
2017-10-24,12.4,19.3,6.9,,,,,,,,,,,,
2018-10-19,12.2,18.6,7.5,,,,,,,,,,,,
2018-10-20,12.1,20.7,5.6,,,,,,,,,,,,
2018-10-21,12.1,21.0,5.4,,,,,,,,,,,,
2018-10-22,13.4,21.0,8.1,,,,,,,,,,,,
2019-10-18,15.8,20.8,11.0,,,,,,,,,,,,
2019-10-19,16.7,22.9,13.0,,,,,,,,,,,,
2019-10-20,15.4,22.4,10.8,,,,,,,,,,,,
2019-10-21,15.5,23.3,9.5,,,,,,,,,,,,
